항목명(국문)	항목명(영문)	항목크기	항목구분	샘플데이터	항목설명
결과코드	resultCode	2	필수	00	결과코드
결과메시지	resultMsg	50	필수	NORMAL_SERVICE	결과메시지
한 페이지 결과 수	numOfRows	4	필수	10	한 페이지 결과 수
페이지 번호	pageNo	4	필수	1	페이지번호
전체 결과 수	totalCount	4	필수	3	전체 결과 수
데이터 타입	dataType	4	필수	XML	응답자료형식 (XML/JSON)
시간	tm	10	필수	2010-01-01	일시
지점 번호	stnId	3	필수	108	종관기상관측 지점 번호
1.5m 지중온도	avgM15Te	6	옵션	9.2	1.5m 지중온도
9-9강수	n99Rn	6	옵션	1.1	9-9강수
최저 해면기압	minPs	6	옵션	1019.4	최저 해면기압
평균 상대습도	avgRhm	6	옵션	48	평균 상대습도
평균 상대습도 시각	minRhmHrmt	4	옵션	1137	평균 상대습도 시각
최대 순간 풍속 풍향	maxInsWsWd	6	옵션	34	최대 순간 풍속 풍향
평균 지면온도	avgTs	6	옵션	-4.6	평균 지면온도
최대 순간풍속 시각	max_ins_ws_hrmt	4	옵션	105	최대 순간풍속 시각
일 최심적설 시각	ddMesHrmt	4	옵션	0	일 최심적설 시각
최고 해면기압 시각	maxPsHrmt	4	옵션	5	최고 해면기압 시각
평균 증기압	avgPv	6	옵션	1.7	평균 증기압
최소 상대습도	minRhm	6	옵션	30	최소 상대습도
합계 일조 시간	sumSsHr	6	옵션	7.3	합계 일조 시간
가조시간	ssDur	6	옵션	9.6	가조시간
평균 해면기압	avgPs	6	옵션	1021.7	평균 해면기압
최대 풍속	maxWs	6	옵션	3.4	최대 풍속
평균 5cm 지중온도	avgCm5Te	6	옵션	-3.4	평균 5cm 지중온도
최저 초상온도	minTg	6	옵션	-13	최저 초상온도
최대 풍속 풍향	maxWsWd	6	옵션	7	최대 풍속 풍향
합계 소형증발량	sumSmlEv	6	옵션	0.6	합계 소형증발량
평균 전운량	avgTca	6	옵션	3.8	평균 전운량
1시간 최다 일사량	hr1MaxIcsr	6	옵션	1.51	1시간 최다 일사량
평균 이슬점온도	avgTd	6	옵션	-16.9	평균 이슬점온도
최고 해면 기압	maxPs	6	옵션	1024.4	최고 해면 기압
평균 20cm 지중온도	avgCm20Te	6	옵션	-0.7	평균 20cm 지중온도
일 최심적설	ddMes	6	옵션	2.2	일 최심적설
최저 기온	minTa	6	옵션	-12.7	최저 기온
최저 해면기압 시각	minPsHrmt	6	옵션	2356	최저 해면기압 시각
5.0m 지중온도	avgM50Te	6	옵션	17.2	5.0m 지중온도
최고 기온	maxTa	6	옵션	-3.6	최고 기온
풍정합	hr24SumRws	4	옵션	1608	풍정합
3.0m 지중온도	avgM30Te	6	옵션	15.2	3.0m 지중온도
평균10cm 지중온도	avgCm10Te	6	옵션	-1.7	평균10cm 지중온도
0.5m 지중온도	avgM05Te	6	옵션	2.4	0.5m 지중온도
1시간 최다 일사량 시각	hr1MaxIcsrHrmt	4	옵션	1100	1시간 최다 일사량 시각
최대 순간풍속	maxInsWs	6	옵션	7.5	최대 순간풍속
평균 전운량	avgTca	6	옵션	2.3	평균 전운량
평균 30cm 지중온도	avgCm30Te	6	옵션	0.5	평균 30cm 지중온도
1.0m 지중온도	avgM10Te	6	옵션	6.1	1.0m 지중온도
합계 일사	sumGsr	6	옵션	8.63	합계 일사
최대 풍속 시각	maxWsHrmt	4	옵션	2350	최대 풍속 시각
평균 현지기압	avgPa	6	옵션	1010.6	평균 현지기압
평균 풍속	avgWs	6	옵션	1.9	평균 풍속
일기현상	iscs	1000	옵션	-{박무}-{박무}{강도0}0300-0515.	일기현상
안개 계속 시간	sumFogDur	6	옵션	0.67	안개 계속 시간
합계 대형증발량	sumLrgEv	6	옵션	2.8	합계 대형증발량
합계 3시간 신적설	sumDpthFhsc	6	옵션	1.6	합계 3시간 신적설
일 최심신적설	ddMefs	6	옵션	25.8	일 최심신적설
일 최심신적설 시각	ddMefsHrmt	4	옵션	1355	일 최심신적설 시각
일강수량	sumRn	6	옵션	0	일강수량
1시간 최다 강수량 시각	hr1MaxRnHrmt	4	옵션	1441	1시간 최다 강수량 시각
1시간 최다강수량	hr1MaxRn	6	옵션	0.7	1시간 최다강수량
10분 최다강수량 시각	mi10MaxRnHrmt	4	옵션	1459	10분 최다강수량 시각
10분 최다 강수량	mi10_max_rn	6	옵션	0.5	10분 최다 강수량
평균 기온	avgTa	6	옵션	-7.6	평균 기온
최저 기온 시각	minTaHrmt	6	옵션	-12.7	최저 기온
최대 기온 시각	maxTaHrmt	4	옵션	1501	최대 기온 시각
최대 풍향	maxWd	6	옵션	70	최대 풍향
평균 중하층운량	avgLmac	6	옵션	2.3	평균 중하층운량
